gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
ENSG00000239480,1.0763063362272889,-1.6771441352398702,4.112567325810986,6.534564213157519e-5,1.694205742079087e-4,1.5227952397196365
ENSG00000117394,-0.3942776879572101,5.42407790191905,-4.111971547481828,6.549676369421174e-5,1.6978920835374064e-4,0.6507183266127754
ENSG00000141424,-0.5543367696571981,3.0183830863226095,-4.111885451908672,6.551862979812639e-5,1.6980545756563564e-4,0.9811195664260053
ENSG00000178974,-0.37374564074693906,3.406541448644192,-4.111876468388202,6.552091178785635e-5,1.6980545756563564e-4,0.8956818758237457
ENSG00000239911,-0.46214017109160066,1.2240273189565547,-4.111793163014854,6.554207660073596e-5,1.698371354644446e-4,1.2787523928479425
ENSG00000165782,-0.13182515412886264,5.743114010454713,-4.111537357057109,6.560710829460726e-5,1.6998246009381672e-4,0.6288903198051665
ENSG00000163235,0.5309716140295504,3.8492046502291632,4.111289509076323,6.567017573600084e-5,1.7012265656432077e-4,0.78993710815638
ENSG00000159231,-0.7785310968910822,1.3292255573833025,-4.110850367947598,6.578206204142346e-5,1.7038926584137423e-4,1.2748767938188275
ENSG00000109501,-0.4325687230928341,1.7420654294115807,-4.109675223838764,6.608236764114768e-5,1.711437811529805e-4,1.1859332319355342
ENSG00000115271,0.5347136726281487,7.76108302828779,4.108814874924729,6.63030586688593e-5,1.716919286102677e-4,0.6197363124098167
ENSG00000271009,1.22982695157844,-2.397043835646742,4.107097433518651,6.674571464785588e-5,1.7281462704762468e-4,1.5229957334519462
ENSG00000077713,-0.796105536971538,1.5849398548953169,-4.106952604037646,6.678317212822641e-5,1.728880429880786e-4,1.214952500670015
ENSG00000156876,-0.8391444401154027,-0.5239604640449369,-4.106363193013694,6.693581987959607e-5,1.7325960245203703e-4,1.4672085080890218
ENSG00000167604,0.26247488090205895,5.213232682287655,4.105332104904024,6.720365726709282e-5,1.7391231472776078e-4,0.6276718777246195
ENSG00000126970,-0.37193407570451753,1.7720342701160114,-4.105321965400661,6.720629620415732e-5,1.7391231472776078e-4,1.158436555674096
ENSG00000178093,-0.46966391910478333,1.0601378579336322,-4.10498711969092,6.729349981623679e-5,1.7411425357711504e-4,1.273621582264088
ENSG00000172466,0.19817589319281126,5.489175630728535,4.104885089649133,6.732009291830192e-5,1.741593359970344e-4,0.6134369650562332
ENSG00000226284,0.46185135671629585,0.8527844670498108,4.104816625167196,6.733794312811033e-5,1.7418179106296167e-4,1.26563711137159
ENSG00000132361,-0.2449485312259876,5.493194818406449,-4.1044277146548485,6.743942661911673e-5,1.7442054319219814e-4,0.619546913161181
