gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
ENSG00000170190,0.4689007914109373,5.421235925598312,6.590682056700933,7.610896661686306e-10,5.072328813756831e-9,11.742164830107713
ENSG00000175216,-0.4359910243786116,4.452290408934542,-6.590135237754624,7.632483370301223e-10,5.08493122186957e-9,11.82923757152062
ENSG00000070614,0.6751403572738761,6.077729779834986,6.5899371911920674,7.640316505373081e-10,5.08836506672708e-9,11.716230864031424
ENSG00000089009,-0.384418748508514,9.900866201843028,-6.588611338939577,7.692961020256743e-10,5.1216299200405396e-9,11.764357161145526
ENSG00000104731,-0.4576316604048074,5.981368872176994,-6.587285628412144,7.745957265687095e-10,5.155105546757557e-9,11.712710605132145
ENSG00000087253,0.8374638495342825,4.932358523996417,6.586671571082499,7.770626409770415e-10,5.169712014962496e-9,11.746804185927832
ENSG00000149311,-0.8428036186585643,5.484699729633039,-6.586190533204696,7.790005694307903e-10,5.180790201599591e-9,11.743429776304886
ENSG00000140090,0.5998189782016343,5.537942271774587,6.583961906847481,7.880412267391139e-10,5.238277089562403e-9,11.69763236442826
ENSG00000106049,-0.5442445841153556,2.6851693457496992,-6.583923959035483,7.881960578061149e-10,5.238277089562403e-9,12.000403239926731
ENSG00000101004,-1.7513874339432387,-0.09023383850922852,-6.5836114112036155,7.894724265533648e-10,5.244924543530819e-9,11.996118512278992
ENSG00000228474,0.5695417855073881,7.927377177869656,6.582954608519525,7.921612885290763e-10,5.260948081930516e-9,11.697691542202412
ENSG00000112039,-0.4723646368454273,2.5589904679410194,-6.582744930787496,7.930215797673446e-10,5.264820652254786e-9,12.00609301925409
ENSG00000137124,-0.5998530216774973,1.7636468161294614,-6.582481595521098,7.941033279038575e-10,5.270160241162079e-9,12.07675080304827
ENSG00000125430,-1.0216306470315828,2.538321343768195,-6.581276734660182,7.990713193820178e-10,5.3012786029836e-9,12.027715562954928
ENSG00000071127,0.2780515302149187,8.931811289685916,6.581039033370402,8.000550416985615e-10,5.305951627801144e-9,11.705978237195247
